!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_DICT),
(def(USE_NSS)&def(USE_NTLM)),
!def(CURL_DISABLE_LDAP),
def(TIME_WITH_SYS_TIME),
def(USE_POLARSSL),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_LIBRTMP),
!def(CURL_DISABLE_TELNET),
def(LIB1502),
!def(HAVE_INET_PTON),
!def(_LDAP_PVT_H),
!def(__EMX__),
def(UNITTESTS),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_BASENAME),
def(__VMS),
def(LIB1503),
def(HAVE_PIPE),
!def(HAVE_GETPASS_R),
!def(HAVE_STRTOK_R),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_CYASSL),
!def(CURL_DISABLE_GOPHER),
def(SIGHUP),
def(SIGALRM),
def(DEBUGBUILD),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_NTOP),
def(__EMX__),
def(ENABLE_IPV6),
!def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_NTLM),
def(HAVE_FSETXATTR),
def(HAVE_SOCKETPAIR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
True,
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_NSS),
def(HAVE_GSSAPI),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_ENVIRONMENT),
def(HAVE_WRITABLE_ARGV),
def(CURLRES_SYNCH),
def(CURL_DISABLE_HTTP),
def(USE_WINDOWS_SSPI),
def(USE_NGHTTP2),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_FSETXATTR_6),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_RTSP),
def(HAVE_SETMODE),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_TFTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(__riscos__),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURLDEBUG),
def(USE_GNUTLS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB585),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(CURL_DOES_CONVERSIONS),
