(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_RTSP),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__riscos__),
def(CURLDEBUG),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_HTTP),
def(HAVE_PIPE),
def(USE_POLARSSL),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NTLM),
def(TIME_WITH_SYS_TIME),
def(__EMX__),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(UNITTESTS),
True,
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(USE_WINDOWS_SSPI),
def(USE_LIBRTMP),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_PROXY),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_CYASSL),
!def(__EMX__),
def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_STRTOK_R),
(def(__AMIGA__)&!def(__libnix__)),
def(LIB585),
def(ENABLE_IPV6),
!def(CURL_DISABLE_FTP),
!def(HAVE_MEMRCHR),
def(DISABLE_EXPECT),
!def(HAVE_INET_PTON),
!def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
def(DEBUGBUILD),
def(__VMS),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
def(__AMIGA__),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CHUNKED),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_TFTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_LDAP),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DISABLE_HTTP),
def(HAVE_SETMODE),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(HAVE_GETHOSTNAME),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
