(def(__AMIGA__)&!def(__libnix__)),
def(LIB585),
def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TFTP),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
!def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
def(__AMIGA__),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(CURLDEBUG),
!def(CURL_DISABLE_TELNET),
def(__VMS),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__riscos__),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_RTSP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_GETHOSTNAME),
!def(_LDAP_PVT_H),
def(USE_NSS),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(USE_CHUNKED),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(ENABLE_IPV6),
def(USE_LIBRTMP),
!def(__EMX__),
!def(CURL_DISABLE_DICT),
def(HAVE_SETMODE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(_WIN32_WCE)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
!def(CURL_DISABLE_GOPHER),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_PROXY),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_HTTP),
def(HAVE_PIPE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__EMX__),
def(USE_POLARSSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(WIN32)&!def(__AMIGA__)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(UNITTESTS),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_FTP),
!def(USE_WINDOWS_SSPI),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
