!def(HAVE_MEMRCHR),
def(USE_NSS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(CURLRES_SYNCH),
def(__VMS),
def(SIGHUP),
def(HAVE_SETMODE),
def(USE_WINDOWS_SSPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(__riscos__),
!def(DEBUGBUILD),
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_TFTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(UNITTESTS),
def(LIB1502),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_GETPASS_R),
!def(_LDAP_PVT_H),
True,
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_INET_NTOP),
def(HAVE_PIPE),
def(USE_CHUNKED),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LDAP),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(__EMX__),
def(CURL_DISABLE_HTTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_RTSP),
def(HAVE_FDOPEN),
!def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_INET_PTON),
def(LIB585),
def(USE_CYASSL),
def(CURL_DOES_CONVERSIONS),
def(LIB1503),
!def(HAVE_BASENAME),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_GOPHER),
def(USE_GNUTLS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(SIGALRM),
!def(CURL_DISABLE_PROXY),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_SOCKETPAIR),
def(SIGPIPE),
def(HAVE_WRITABLE_ARGV),
def(TIME_WITH_SYS_TIME),
def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
def(USE_NTLM),
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
def(ENABLE_IPV6),
def(DISABLE_EXPECT),
def(USE_LIBRTMP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_HTTP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
