!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_TELNET),
!def(__EMX__),
def(CURL_DISABLE_HTTP),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(DEBUGBUILD),
def(__AMIGA__),
!def(CURL_DISABLE_LDAP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(USE_NSS),
!def(HAVE_FSETXATTR),
!def(HAVE_INET_NTOP),
!def(HAVE_INET_PTON),
def(DEBUGBUILD),
def(LIB585),
!def(CURL_DISABLE_TFTP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_PROXY),
def(CURLDEBUG),
!def(CURL_DISABLE_FTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_MEMRCHR),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(CURL_DOES_CONVERSIONS),
def(HAVE_GETHOSTNAME),
def(HAVE_WRITABLE_ARGV),
(def(__AMIGA__)&!def(__libnix__)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_POLARSSL),
def(HAVE_SETMODE),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(_LDAP_PVT_H),
def(USE_GNUTLS),
(def(WIN32)&!def(__AMIGA__)),
True,
def(USE_CHUNKED),
!def(CURL_DISABLE_GOPHER),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(CURL_DISABLE_HTTP),
def(__EMX__),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(UNITTESTS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_CYASSL),
def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_PIPE),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(TIME_WITH_SYS_TIME),
def(ENABLE_IPV6),
def(USE_NTLM),
!def(CURL_DISABLE_DICT),
