def(SIGPIPE),
def(CURL_DOES_CONVERSIONS),
def(USE_NTLM),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
True,
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_GETPASS_R),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(__EMX__),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB1502),
def(HAVE_FSETXATTR_6),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(HAVE_SOCKETPAIR),
def(LIB585),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(DISABLE_EXPECT),
def(ENABLE_IPV6),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(USE_POLARSSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
!def(_LDAP_PVT_H),
!def(HAVE_GSSAPI),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(USE_CHUNKED),
!def(HAVE_STRTOK_R),
def(USE_LIBRTMP),
def(DEBUGBUILD),
def(USE_NGHTTP2),
def(__EMX__),
!def(CURL_DISABLE_HTTP),
def(USE_NSS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(DEBUGBUILD),
def(USE_ENVIRONMENT),
def(__VMS),
def(CURLRES_SYNCH),
def(USE_WINDOWS_SSPI),
def(SIGHUP),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGALRM),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_LDAP),
def(CURL_DISABLE_HTTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_DICT),
def(USE_CYASSL),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TELNET),
def(LIB1503),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_BASENAME),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_MEMRCHR),
def(HAVE_SETMODE),
!def(CURL_DISABLE_TFTP),
(def(WIN32)&!def(__AMIGA__)),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_GNUTLS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_INET_NTOP),
def(MEMDEBUG_LOG_SYNC),
def(UNITTESTS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(UNITTESTS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_RTSP),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FDOPEN),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_GSSAPI),
def(__riscos__),
