!def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TFTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_DICT),
(def(WIN32)&!def(_WIN32_WCE)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_GOPHER),
def(UNITTESTS),
def(CURL_DOES_CONVERSIONS),
(def(__AMIGA__)&!def(__libnix__)),
!def(CURL_DOES_CONVERSIONS),
def(USE_LIBRTMP),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_POLARSSL),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(TIME_WITH_SYS_TIME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_TELNET),
def(CURLDEBUG),
def(ENABLE_IPV6),
(def(WIN32)&!def(__AMIGA__)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DISABLE_EXPECT),
def(HAVE_FSETXATTR),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_SETMODE),
def(HAVE_GETHOSTNAME),
def(CURL_DISABLE_HTTP),
def(USE_CHUNKED),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_FTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_HTTP),
!def(__EMX__),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LDAP),
def(HAVE_PIPE),
def(__riscos__),
!def(CURL_DISABLE_RTSP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_STRTOK_R),
!def(HAVE_MEMRCHR),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_INET_NTOP),
def(USE_NSS),
def(USE_CYASSL),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__AMIGA__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(DEBUGBUILD),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
True,
def(USE_NTLM),
