!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(SIGHUP),
!def(HAVE_STRTOK_R),
def(DEBUGBUILD),
!def(HAVE_INET_PTON),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_CYASSL),
def(HAVE_FSETXATTR_6),
def(CURL_DISABLE_HTTP),
def(DISABLE_EXPECT),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_FSETXATTR),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_PROXY),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_LDAP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_TELNET),
!def(__EMX__),
!def(HAVE_MEMRCHR),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CHUNKED),
def(USE_POLARSSL),
def(SIGPIPE),
!def(HAVE_GETPASS_R),
def(CURL_DO_LINEEND_CONV),
def(__VMS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DOES_CONVERSIONS),
def(__EMX__),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_DICT),
def(__riscos__),
!def(USE_WIN32_IDN),
!def(UNITTESTS),
!def(_LDAP_PVT_H),
def(CURLRES_SYNCH),
def(SIGALRM),
def(ENABLE_IPV6),
!def(DEBUGBUILD),
def(UNITTESTS),
def(HAVE_SOCKETPAIR),
def(USE_ENVIRONMENT),
def(HAVE_GSSAPI),
def(USE_NSS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_NTOP),
def(USE_GNUTLS),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GSSAPI),
!def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_WRITABLE_ARGV),
def(LIB585),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_TFTP),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(LIB1503),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(TIME_WITH_SYS_TIME),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_HTTP),
!def(HAVE_BASENAME),
def(USE_LIBRTMP),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NGHTTP2),
def(HAVE_FDOPEN),
def(LIB1502),
