def(HAVE_WRITABLE_ARGV),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_GNUTLS),
!def(CURL_DISABLE_TFTP),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(UNITTESTS),
!def(HAVE_STRTOK_R),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_PROXY),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__VMS),
!def(CURL_DOES_CONVERSIONS),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_LDAP),
!def(HAVE_FSETXATTR),
def(USE_CHUNKED),
def(USE_NSS),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB585),
def(HAVE_GSSAPI),
def(ENABLE_IPV6),
!def(HAVE_MEMRCHR),
!def(HAVE_BASENAME),
!def(DEBUGBUILD),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NGHTTP2),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_GOPHER),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_RTSP),
!def(_LDAP_PVT_H),
def(SIGHUP),
!def(HAVE_INET_NTOP),
def(LIB1503),
def(HAVE_SOCKETPAIR),
def(HAVE_SETMODE),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(CURL_DISABLE_DICT),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_INET_PTON),
def(SIGALRM),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_GETPASS_R),
def(HAVE_FSETXATTR_6),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__EMX__),
def(DISABLE_EXPECT),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_WINDOWS_SSPI),
True,
def(USE_ENVIRONMENT),
def(USE_CYASSL),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_POLARSSL),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(WIN32)&!def(__AMIGA__)),
def(SIGPIPE),
def(LIB1502),
!def(HAVE_GSSAPI),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
def(CURLRES_SYNCH),
!def(UNITTESTS),
def(USE_LIBRTMP),
