!def(CURL_DISABLE_LDAP),
def(USE_POLARSSL),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_DICT),
def(HAVE_GSSAPI),
def(SIGHUP),
!def(CURL_DISABLE_TFTP),
def(CURL_DOES_CONVERSIONS),
def(LIB585),
!def(HAVE_GSSAPI),
def(CURLRES_SYNCH),
def(UNITTESTS),
def(DISABLE_EXPECT),
def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(__AMIGA__)),
def(MEMDEBUG_LOG_SYNC),
def(LIB1503),
def(__EMX__),
def(USE_CHUNKED),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(DEBUGBUILD),
def(CURL_DO_LINEEND_CONV),
def(ENABLE_IPV6),
def(TIME_WITH_SYS_TIME),
def(SIGPIPE),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NGHTTP2),
True,
def(SIGINT),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_FDOPEN),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_NSS),
!def(CURL_DISABLE_PROXY),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_SOCKETPAIR),
def(SIGTERM),
!def(USE_WIN32_IDN),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_HTTP),
!def(HAVE_STRTOK_R),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR_6),
def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_INET_PTON),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TELNET),
def(LIB1502),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(UNITTESTS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CYASSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__VMS),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_LIBRTMP),
!def(__EMX__),
def(HAVE_WRITABLE_ARGV),
def(USE_ENVIRONMENT),
def(SIGALRM),
def(USE_GNUTLS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_BASENAME),
!def(HAVE_FSETXATTR),
def(__riscos__),
