!def(CURL_DISABLE_PROXY),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CHUNKED),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB585),
!def(HAVE_INET_NTOP),
!def(HAVE_STRTOK_R),
def(USE_NTLM),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__AMIGA__),
!def(CURL_DISABLE_TFTP),
def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_GNUTLS),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
!def(HAVE_FSETXATTR),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
True,
!def(CURL_DISABLE_RTSP),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
def(USE_NSS),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(USE_LIBRTMP),
!def(__EMX__),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(DEBUGBUILD),
!def(USE_WINDOWS_SSPI),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(__AMIGA__)&!def(__libnix__)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(CURL_DOES_CONVERSIONS),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(HAVE_INET_PTON),
def(ENABLE_IPV6),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CYASSL),
def(HAVE_PIPE),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__EMX__),
!def(CURL_DISABLE_FTP),
def(__riscos__),
!def(CURL_DISABLE_HTTP),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(CURLDEBUG),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(HAVE_GETHOSTNAME),
def(HAVE_WRITABLE_ARGV),
def(__VMS),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
