!def(CURL_DISABLE_FTP),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(CURL_DOES_CONVERSIONS),
!def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(DEBUGBUILD),
def(USE_NTLM),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
def(HAVE_PIPE),
def(USE_POLARSSL),
def(USE_NSS),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
def(__AMIGA__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_LIBRTMP),
def(HAVE_GETHOSTNAME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_RTSP),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(HAVE_FSETXATTR),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(WIN32)&!def(__AMIGA__)),
def(TIME_WITH_SYS_TIME),
def(CURLDEBUG),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_DICT),
def(USE_CHUNKED),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_LDAP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_GOPHER),
True,
!def(HAVE_MEMRCHR),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
!def(HAVE_INET_NTOP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_SETMODE),
def(LIB585),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(__VMS),
def(USE_CYASSL),
!def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(_WIN32_WCE)),
(def(__AMIGA__)&!def(__libnix__)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__riscos__),
def(__EMX__),
!def(CURL_DISABLE_TFTP),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(UNITTESTS),
