def(USE_WINDOWS_SSPI),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGALRM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB585),
!def(HAVE_INET_NTOP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_POLARSSL),
!def(CURL_DISABLE_DICT),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_CHUNKED),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_FSETXATTR),
def(DISABLE_EXPECT),
def(ENABLE_IPV6),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_MEMRCHR),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(__riscos__),
(def(WIN32)&!def(__AMIGA__)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_BASENAME),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SOCKETPAIR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NTLM),
def(LIB1502),
def(SIGHUP),
def(LIB1503),
def(HAVE_PIPE),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_TFTP),
!def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
def(MEMDEBUG_LOG_SYNC),
def(__EMX__),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_GOPHER),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(_WIN32_WCE)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_INET_PTON),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(_LDAP_PVT_H),
!def(DEBUGBUILD),
def(DEBUGBUILD),
def(CURLDEBUG),
def(USE_LIBRTMP),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
def(HAVE_WRITABLE_ARGV),
True,
def(HAVE_FDOPEN),
def(USE_GNUTLS),
def(CURL_DISABLE_HTTP),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(TIME_WITH_SYS_TIME),
def(USE_NSS),
!def(CURL_DISABLE_PROXY),
!def(__EMX__),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(UNITTESTS),
