!def(CURL_DISABLE_DICT),
!def(HAVE_GSSAPI),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__riscos__),
!def(HAVE_INET_NTOP),
!def(__EMX__),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_GOPHER),
def(LIB1502),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_PROXY),
(def(WIN32)&!def(__AMIGA__)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
True,
def(USE_POLARSSL),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_TELNET),
def(__VMS),
!def(HAVE_BASENAME),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DISABLE_EXPECT),
def(SIGHUP),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_PTON),
def(SIGPIPE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_CYASSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DOES_CONVERSIONS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
!def(_LDAP_PVT_H),
def(UNITTESTS),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
def(USE_NGHTTP2),
def(LIB585),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
def(HAVE_SOCKETPAIR),
def(HAVE_WRITABLE_ARGV),
def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_GETPASS_R),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_FSETXATTR_6),
def(USE_CHUNKED),
def(SIGALRM),
def(HAVE_SETMODE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_WINDOWS_SSPI),
def(USE_NSS),
def(LIB1503),
def(USE_ENVIRONMENT),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(DEBUGBUILD),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(CURL_DISABLE_HTTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
def(HAVE_GSSAPI),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(UNITTESTS),
