!def(HAVE_STRTOK_R),
def(DISABLE_EXPECT),
def(LIB585),
def(ENABLE_IPV6),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(MEMDEBUG_LOG_SYNC),
def(USE_NSS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
True,
def(HAVE_FDOPEN),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_GOPHER),
!def(__EMX__),
def(TIME_WITH_SYS_TIME),
def(DEBUGBUILD),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TFTP),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SETMODE),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(SIGPIPE),
def(USE_NTLM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_MEMRCHR),
def(USE_CYASSL),
def(CURL_DISABLE_HTTP),
def(USE_ENVIRONMENT),
!def(HAVE_GETPASS_R),
def(__EMX__),
def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_GNUTLS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(SIGALRM),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(LIB1503),
def(CURL_DOES_CONVERSIONS),
def(USE_CHUNKED),
def(UNITTESTS),
def(HAVE_SOCKETPAIR),
def(LIB1502),
!def(DEBUGBUILD),
!def(CURL_DISABLE_PROXY),
def(__riscos__),
!def(CURL_DISABLE_DICT),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__VMS),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_POLARSSL),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_RTSP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_LIBRTMP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_PIPE),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_LDAP),
!def(HAVE_FSETXATTR),
def(SIGHUP),
def(CURLRES_SYNCH),
def(CURLDEBUG),
