!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__riscos__),
!def(__EMX__),
def(LIB585),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(MEMDEBUG_LOG_SYNC),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(__VMS),
def(USE_WINDOWS_SSPI),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CYASSL),
def(HAVE_SOCKETPAIR),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_GOPHER),
def(LIB1503),
!def(CURL_DISABLE_DICT),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(DEBUGBUILD),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_LDAP),
def(HAVE_PIPE),
def(DEBUGBUILD),
def(CURLRES_SYNCH),
!def(HAVE_BASENAME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_POLARSSL),
def(USE_GNUTLS),
def(TIME_WITH_SYS_TIME),
def(LIB1502),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_LIBRTMP),
def(CURL_DOES_CONVERSIONS),
True,
def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_INET_PTON),
(def(WIN32)&!def(__AMIGA__)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(DISABLE_EXPECT),
def(USE_CHUNKED),
!def(HAVE_MEMRCHR),
!def(HAVE_STRTOK_R),
def(USE_NSS),
def(__EMX__),
def(UNITTESTS),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_TELNET),
!def(CURL_DOES_CONVERSIONS),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_GETPASS_R),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_TFTP),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(_WIN32_WCE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_SETMODE),
def(USE_NTLM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
