(def(USE_NSS)&def(USE_NTLM)),
def(USE_ENVIRONMENT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CHUNKED),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR),
def(LIB1503),
def(USE_NSS),
def(USE_CYASSL),
def(USE_NGHTTP2),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_GOPHER),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_TELNET),
True,
!def(CURL_DISABLE_HTTP),
!def(HAVE_BASENAME),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(__riscos__),
def(SIGALRM),
def(CURLRES_SYNCH),
def(USE_LIBRTMP),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_DICT),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB585),
!def(CURL_DISABLE_RTSP),
def(SIGPIPE),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__EMX__),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
(def(WIN32)&!def(__AMIGA__)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_PROXY),
def(LIB1502),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DOES_CONVERSIONS),
def(USE_WINDOWS_SSPI),
def(CURLDEBUG),
def(__VMS),
def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_GSSAPI),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_MEMRCHR),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(HAVE_PIPE),
!def(HAVE_STRTOK_R),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(MEMDEBUG_LOG_SYNC),
!def(DEBUGBUILD),
!def(__EMX__),
!def(HAVE_INET_NTOP),
!def(HAVE_GETPASS_R),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_GNUTLS),
def(HAVE_FSETXATTR_6),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(_WIN32_WCE)&!def(WIN32)),
def(TIME_WITH_SYS_TIME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(DISABLE_EXPECT),
def(HAVE_SOCKETPAIR),
def(HAVE_SETMODE),
def(ENABLE_IPV6),
def(USE_NTLM),
def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(SIGHUP),
def(HAVE_FDOPEN),
!def(_LDAP_PVT_H),
def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURL_DOES_CONVERSIONS),
