def(HAVE_FDOPEN),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_GETPASS_R),
def(CURL_DISABLE_HTTP),
def(HAVE_FSETXATTR_6),
def(LIB1502),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_FSETXATTR),
def(USE_LIBRTMP),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_PTON),
!def(CURL_DOES_CONVERSIONS),
def(LIB585),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
True,
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_DICT),
def(SIGALRM),
def(MEMDEBUG_LOG_SYNC),
def(DEBUGBUILD),
def(USE_WINDOWS_SSPI),
def(DISABLE_EXPECT),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB1503),
!def(CURL_DISABLE_TELNET),
def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_GOPHER),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_PROXY),
def(HAVE_GSSAPI),
def(USE_NSS),
!def(CURL_DISABLE_RTSP),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_SOCKETPAIR),
def(USE_CYASSL),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(HAVE_INET_NTOP),
def(SIGHUP),
def(USE_POLARSSL),
def(__EMX__),
def(USE_GNUTLS),
def(TIME_WITH_SYS_TIME),
!def(HAVE_STRTOK_R),
def(__riscos__),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_SETMODE),
!def(CURL_DISABLE_TFTP),
def(UNITTESTS),
def(__VMS),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(_LDAP_PVT_H),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_BASENAME),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_HTTP),
def(USE_ENVIRONMENT),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_LDAP),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(UNITTESTS),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(DEBUGBUILD),
def(CURLRES_SYNCH),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_NGHTTP2),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(CURL_DO_LINEEND_CONV),
