!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_PIPE),
!def(CURL_DISABLE_PROXY),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURLDEBUG),
def(__VMS),
def(TIME_WITH_SYS_TIME),
def(USE_NSS),
def(USE_LIBRTMP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(DEBUGBUILD),
def(__AMIGA__),
def(USE_NTLM),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_INET_NTOP),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(UNITTESTS),
!def(USE_WINDOWS_SSPI),
!def(_LDAP_PVT_H),
def(USE_CYASSL),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(CURL_DOES_CONVERSIONS),
!def(__EMX__),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_WRITABLE_ARGV),
def(LIB585),
!def(CURL_DISABLE_TELNET),
!def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(DEBUGBUILD),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LDAP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_GOPHER),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(ENABLE_IPV6),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(_WIN32_WCE)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_DICT),
def(DISABLE_EXPECT),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(HAVE_STRTOK_R),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_FTP),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__EMX__),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_SETMODE),
True,
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(__AMIGA__)&!def(__libnix__)),
def(__riscos__),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_INET_PTON),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_GETHOSTNAME),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(USE_CHUNKED),
