!def(HAVE_STRTOK_R),
!def(__EMX__),
def(USE_WINDOWS_SSPI),
!def(HAVE_MEMRCHR),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1502),
(def(WIN32)&!def(__AMIGA__)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_INET_PTON),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_FDOPEN),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(__EMX__),
!def(DEBUGBUILD),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_GNUTLS),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_HTTP),
def(HAVE_GSSAPI),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_LIBRTMP),
def(CURL_DOES_CONVERSIONS),
def(LIB1503),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_RTSP),
def(SIGPIPE),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURLRES_SYNCH),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(MEMDEBUG_LOG_SYNC),
def(USE_NTLM),
def(TIME_WITH_SYS_TIME),
def(USE_POLARSSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DOES_CONVERSIONS),
True,
def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_GOPHER),
def(USE_CHUNKED),
!def(HAVE_FSETXATTR),
def(SIGHUP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_BASENAME),
def(CURLDEBUG),
def(HAVE_FSETXATTR),
def(__riscos__),
(def(USE_NSS)&def(USE_NTLM)),
!def(CURL_DISABLE_TFTP),
def(USE_NSS),
def(ENABLE_IPV6),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_FSETXATTR_6),
def(SIGALRM),
def(__VMS),
!def(CURL_DISABLE_TELNET),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_SETMODE),
def(USE_CYASSL),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
def(HAVE_PIPE),
def(USE_NGHTTP2),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_GETPASS_R),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_ENVIRONMENT),
def(UNITTESTS),
def(LIB585),
!def(CURL_DISABLE_DICT),
