!def(__EMX__),
def(USE_CYASSL),
def(USE_POLARSSL),
!def(HAVE_INET_NTOP),
def(HAVE_FSETXATTR_6),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_CHUNKED),
def(HAVE_WRITABLE_ARGV),
def(__VMS),
def(SIGPIPE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_RTSP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__riscos__),
(def(WIN32)&!def(_WIN32_WCE)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(CURL_DISABLE_HTTP),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(MEMDEBUG_LOG_SYNC),
!def(_LDAP_PVT_H),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_TFTP),
!def(USE_WIN32_IDN),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(UNITTESTS),
!def(HAVE_GETPASS_R),
!def(CURL_DOES_CONVERSIONS),
def(USE_LIBRTMP),
def(SIGTERM),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_DICT),
def(UNITTESTS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(SIGHUP),
def(__EMX__),
def(HAVE_FDOPEN),
!def(HAVE_INET_PTON),
def(LIB1503),
def(CURL_DO_LINEEND_CONV),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_PROXY),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(SIGALRM),
!def(HAVE_MEMRCHR),
def(HAVE_FSETXATTR),
def(USE_NSS),
True,
def(LIB585),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DISABLE_EXPECT),
def(LIB1502),
!def(HAVE_STRTOK_R),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(SIGINT),
def(USE_NGHTTP2),
def(HAVE_GSSAPI),
def(CURLRES_SYNCH),
def(TIME_WITH_SYS_TIME),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
def(USE_GNUTLS),
!def(HAVE_FSETXATTR),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_BASENAME),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_GOPHER),
def(CURL_DOES_CONVERSIONS),
!def(DEBUGBUILD),
