!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_HTTP),
def(SIGALRM),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_TFTP),
def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_POLARSSL),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(ENABLE_IPV6),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_CHUNKED),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(DISABLE_EXPECT),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_PROXY),
def(UNITTESTS),
def(__EMX__),
def(USE_NSS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB1503),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(CURL_DO_LINEEND_CONV),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_STRTOK_R),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_LIBRTMP),
def(DEBUGBUILD),
def(HAVE_GSSAPI),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(SIGHUP),
!def(HAVE_BASENAME),
!def(HAVE_GSSAPI),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_SOCKETPAIR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURLRES_SYNCH),
!def(HAVE_GETPASS_R),
def(HAVE_SETMODE),
!def(CURL_DISABLE_DICT),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
True,
def(USE_NGHTTP2),
!def(HAVE_INET_PTON),
def(TIME_WITH_SYS_TIME),
def(HAVE_FSETXATTR_6),
def(USE_ENVIRONMENT),
!def(HAVE_INET_NTOP),
def(USE_CYASSL),
def(__VMS),
def(__riscos__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB1502),
!def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(MEMDEBUG_LOG_SYNC),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_GNUTLS),
def(LIB585),
!def(HAVE_FSETXATTR),
def(HAVE_FSETXATTR),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_MEMRCHR),
!def(DEBUGBUILD),
!def(UNITTESTS),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(_LDAP_PVT_H),
!def(__EMX__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
