(def(USE_NSS)&def(USE_NTLM)),
!def(HAVE_GETPASS_R),
!def(__EMX__),
!def(CURL_DISABLE_PROXY),
!def(_LDAP_PVT_H),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DISABLE_HTTP),
def(HAVE_FDOPEN),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_HTTP),
def(LIB1502),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NTLM),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(__riscos__),
(!def(_WIN32_WCE)&!def(WIN32)),
def(DEBUGBUILD),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(DEBUGBUILD),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_NSS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURLDEBUG),
!def(CURL_DISABLE_GOPHER),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_INET_NTOP),
def(HAVE_SETMODE),
True,
def(HAVE_SOCKETPAIR),
def(USE_LIBRTMP),
!def(CURL_DISABLE_DICT),
def(USE_NGHTTP2),
def(HAVE_GSSAPI),
def(HAVE_FSETXATTR),
def(LIB585),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_TELNET),
def(DISABLE_EXPECT),
def(UNITTESTS),
!def(CURL_DISABLE_TFTP),
!def(CURL_DOES_CONVERSIONS),
def(SIGHUP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1503),
def(HAVE_PIPE),
def(USE_WINDOWS_SSPI),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_STRTOK_R),
def(CURL_DO_LINEEND_CONV),
def(__VMS),
def(USE_CHUNKED),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_RTSP),
!def(HAVE_GSSAPI),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR_6),
def(TIME_WITH_SYS_TIME),
def(SIGALRM),
def(HAVE_WRITABLE_ARGV),
def(USE_POLARSSL),
def(__EMX__),
!def(HAVE_BASENAME),
!def(HAVE_INET_PTON),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(USE_GNUTLS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_LDAP),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_ENVIRONMENT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
