!def(CURL_DISABLE_PROXY),
def(USE_POLARSSL),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
def(USE_GNUTLS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
True,
def(CURLDEBUG),
!def(CURL_DISABLE_GOPHER),
def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(SIGHUP),
def(USE_NGHTTP2),
def(TIME_WITH_SYS_TIME),
def(UNITTESTS),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_DICT),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR_6),
def(SIGALRM),
!def(HAVE_INET_NTOP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_GSSAPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_NTLM),
!def(CURL_DISABLE_RTSP),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_SOCKETPAIR),
def(LIB1502),
!def(CURL_DISABLE_HTTP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CYASSL),
def(LIB585),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_PIPE),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_LIBRTMP),
!def(HAVE_BASENAME),
!def(__EMX__),
def(USE_NSS),
!def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GSSAPI),
def(HAVE_WRITABLE_ARGV),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__riscos__),
!def(CURL_DISABLE_LDAP),
def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_TFTP),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_WINDOWS_SSPI),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(CURLRES_SYNCH),
def(DISABLE_EXPECT),
!def(HAVE_MEMRCHR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_FSETXATTR),
def(HAVE_FDOPEN),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_ENVIRONMENT),
def(USE_CHUNKED),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_SETMODE),
def(SIGPIPE),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_GETPASS_R),
def(ENABLE_IPV6),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
