!def(HAVE_INET_NTOP),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_DICT),
def(TIME_WITH_SYS_TIME),
def(SIGHUP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NTLM),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
def(HAVE_SETMODE),
def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(__riscos__),
def(__VMS),
def(CURLRES_SYNCH),
!def(HAVE_GETPASS_R),
def(USE_POLARSSL),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_SOCKETPAIR),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(LIB585),
def(CURLDEBUG),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(DEBUGBUILD),
def(CURL_DISABLE_HTTP),
def(LIB1502),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_GNUTLS),
def(SIGALRM),
def(WIN32),
!def(__EMX__),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
!def(HAVE_INET_PTON),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_TELNET),
!def(HAVE_FSETXATTR),
def(HAVE_WRITABLE_ARGV),
def(ENABLE_IPV6),
!def(HAVE_BASENAME),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TFTP),
def(USE_ENVIRONMENT),
def(USE_WINDOWS_SSPI),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_GOPHER),
def(USE_CHUNKED),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NSS),
def(UNITTESTS),
def(USE_CYASSL),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1503),
(def(WIN32)&!def(_WIN32_WCE)),
def(SIGPIPE),
!def(HAVE_MEMRCHR),
def(__EMX__),
def(MEMDEBUG_LOG_SYNC),
(def(__riscos__)&def(USE_ENVIRONMENT)),
True,
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_PIPE),
