!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURLRES_SYNCH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__riscos__),
!def(CURL_DISABLE_DICT),
def(HAVE_FDOPEN),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_WINDOWS_SSPI),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CHUNKED),
def(USE_POLARSSL),
def(SIGHUP),
!def(DEBUGBUILD),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_SOCKETPAIR),
def(USE_NSS),
!def(HAVE_STRTOK_R),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_GNUTLS),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(LIB585),
!def(HAVE_FSETXATTR),
def(DEBUGBUILD),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_GOPHER),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_HTTP),
!def(HAVE_GETPASS_R),
True,
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGPIPE),
def(HAVE_PIPE),
def(HAVE_WRITABLE_ARGV),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_MEMRCHR),
def(LIB1502),
!def(CURL_DISABLE_PROXY),
def(ENABLE_IPV6),
!def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(_LDAP_PVT_H),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURLDEBUG),
def(MEMDEBUG_LOG_SYNC),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_ENVIRONMENT),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_BASENAME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_TFTP),
def(UNITTESTS),
def(LIB1503),
!def(HAVE_INET_PTON),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_NTLM),
def(USE_CYASSL),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(_WIN32_WCE)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_LDAP),
def(__VMS),
!def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGALRM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_SETMODE),
def(CURL_DISABLE_HTTP),
def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_TELNET),
def(USE_LIBRTMP),
!def(HAVE_INET_NTOP),
