def(SIGALRM),
def(USE_NGHTTP2),
!def(__EMX__),
def(DEBUGBUILD),
def(LIB585),
!def(HAVE_STRTOK_R),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_POLARSSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_GETPASS_R),
def(USE_CHUNKED),
def(HAVE_FDOPEN),
def(HAVE_GSSAPI),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(DEBUGBUILD),
(def(USE_NSS)&def(USE_NTLM)),
def(__VMS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DOES_CONVERSIONS),
def(UNITTESTS),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_HTTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURLRES_SYNCH),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGHUP),
def(USE_CYASSL),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(__EMX__),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_RTSP),
def(__riscos__),
def(USE_ENVIRONMENT),
def(USE_NSS),
!def(HAVE_INET_NTOP),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_PROXY),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
True,
!def(HAVE_GSSAPI),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_DICT),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
def(CURLDEBUG),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_NTLM),
def(HAVE_FSETXATTR_6),
def(HAVE_WRITABLE_ARGV),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURL_DOES_CONVERSIONS),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(HAVE_PIPE),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_BASENAME),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(ENABLE_IPV6),
def(SIGPIPE),
!def(CURL_DISABLE_LDAP),
def(LIB1502),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_SOCKETPAIR),
def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(WIN32)&!def(_WIN32_WCE)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_WINDOWS_SSPI),
def(USE_LIBRTMP),
!def(HAVE_MEMRCHR),
