!def(CURL_DISABLE_TFTP),
!def(DEBUGBUILD),
!def(CURL_DISABLE_PROXY),
def(HAVE_GETHOSTNAME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_GOPHER),
def(DEBUGBUILD),
!def(CURL_DISABLE_DICT),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(USE_WINDOWS_SSPI),
!def(_LDAP_PVT_H),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(HAVE_FSETXATTR),
!def(HAVE_FSETXATTR),
def(__riscos__),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
(def(__AMIGA__)&!def(__libnix__)),
!def(HAVE_INET_PTON),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(CURL_DISABLE_TELNET),
def(USE_CYASSL),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
def(UNITTESTS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURLDEBUG),
def(USE_LIBRTMP),
def(HAVE_SETMODE),
!def(HAVE_MEMRCHR),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_FTP),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(__AMIGA__),
!def(HAVE_STRTOK_R),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURL_DISABLE_HTTP),
def(__VMS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
True,
def(LIB585),
(def(WIN32)&!def(_WIN32_WCE)),
!def(__EMX__),
def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
