!def(DEBUGBUILD),
!def(__EMX__),
!def(CURL_DISABLE_DICT),
def(MEMDEBUG_LOG_SYNC),
def(USE_LIBRTMP),
def(LIB585),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(ENABLE_IPV6),
def(LIB1503),
def(__VMS),
!def(CURL_DISABLE_PROXY),
def(__riscos__),
def(USE_NGHTTP2),
True,
!def(CURL_DISABLE_RTSP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_NSS),
def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(SIGHUP),
def(SIGPIPE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(TIME_WITH_SYS_TIME),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_BASENAME),
def(HAVE_SETMODE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_ENVIRONMENT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_GSSAPI),
!def(_LDAP_PVT_H),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(DEBUGBUILD),
!def(UNITTESTS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_GSSAPI),
def(USE_CYASSL),
!def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_FSETXATTR_6),
def(USE_POLARSSL),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__EMX__),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(DISABLE_EXPECT),
def(CURLRES_SYNCH),
def(CURL_DISABLE_HTTP),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_HTTP),
def(UNITTESTS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_WRITABLE_ARGV),
def(SIGALRM),
!def(HAVE_INET_NTOP),
def(USE_GNUTLS),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TFTP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(LIB1502),
def(USE_NTLM),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
