!def(__EMX__),
!def(UNITTESTS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_TFTP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
def(USE_NGHTTP2),
def(ENABLE_IPV6),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
def(USE_LIBRTMP),
!def(HAVE_STRTOK_R),
def(TIME_WITH_SYS_TIME),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_RTSP),
def(USE_CHUNKED),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_TELNET),
def(HAVE_FSETXATTR_6),
def(LIB1502),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_POLARSSL),
def(LIB1503),
def(SIGALRM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__EMX__),
def(CURLRES_SYNCH),
def(SIGPIPE),
def(USE_NSS),
def(USE_ENVIRONMENT),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DISABLE_HTTP),
def(HAVE_WRITABLE_ARGV),
!def(DEBUGBUILD),
!def(HAVE_BASENAME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_INET_PTON),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_GSSAPI),
def(USE_WINDOWS_SSPI),
def(LIB585),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FDOPEN),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_GETPASS_R),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CYASSL),
!def(HAVE_MEMRCHR),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_FSETXATTR),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_SETMODE),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_DICT),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__VMS),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(USE_GNUTLS),
(def(WIN32)&!def(_WIN32_WCE)),
!def(_LDAP_PVT_H),
True,
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGHUP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(UNITTESTS),
def(__riscos__),
