!def(HAVE_GETPASS_R),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB1502),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_PIPE),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(ENABLE_IPV6),
(def(WIN32)&!def(__AMIGA__)),
def(USE_NSS),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(_LDAP_PVT_H),
def(USE_CHUNKED),
def(__EMX__),
def(UNITTESTS),
def(SIGALRM),
!def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_LIBRTMP),
def(TIME_WITH_SYS_TIME),
def(CURL_DOES_CONVERSIONS),
def(__riscos__),
def(DISABLE_EXPECT),
def(HAVE_FDOPEN),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_GOPHER),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_WINDOWS_SSPI),
def(SIGPIPE),
def(USE_CYASSL),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_NTLM),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_LDAP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_MEMRCHR),
def(HAVE_FSETXATTR),
def(CURLDEBUG),
!def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_STRTOK_R),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_INET_NTOP),
def(USE_GNUTLS),
True,
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_BASENAME),
def(SIGHUP),
!def(CURL_DISABLE_HTTP),
def(LIB1503),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__VMS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_RTSP),
!def(__EMX__),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
def(MEMDEBUG_LOG_SYNC),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_TFTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_PROXY),
def(USE_POLARSSL),
!def(HAVE_INET_PTON),
def(DEBUGBUILD),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_SOCKETPAIR),
def(LIB585),
