!def(CURL_DISABLE_DICT),
def(CURL_DOES_CONVERSIONS),
def(__EMX__),
!def(CURL_DISABLE_FTP),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_SETMODE),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_TFTP),
def(DEBUGBUILD),
!def(CURL_DISABLE_LDAP),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FSETXATTR),
def(HAVE_GETHOSTNAME),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_HTTP),
!def(HAVE_STRTOK_R),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_INET_PTON),
def(USE_POLARSSL),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(LIB585),
!def(CURL_DISABLE_PROXY),
def(ENABLE_IPV6),
!def(CURL_DISABLE_RTSP),
def(__VMS),
def(USE_NTLM),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(__riscos__),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(WIN32)&!def(__AMIGA__)),
def(UNITTESTS),
True,
!def(HAVE_MEMRCHR),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_CYASSL),
def(__AMIGA__),
def(USE_NSS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
def(DISABLE_EXPECT),
(def(__AMIGA__)&!def(__libnix__)),
def(HAVE_PIPE),
!def(USE_WINDOWS_SSPI),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_INET_NTOP),
!def(HAVE_FSETXATTR),
def(USE_LIBRTMP),
def(HAVE_WRITABLE_ARGV),
!def(__EMX__),
!def(DEBUGBUILD),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
