!def(HAVE_BASENAME),
def(CURL_DO_LINEEND_CONV),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GSSAPI),
def(USE_POLARSSL),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CHUNKED),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(USE_NGHTTP2),
def(HAVE_FSETXATTR_6),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(DEBUGBUILD),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_GNUTLS),
True,
def(LIB1503),
def(HAVE_WRITABLE_ARGV),
def(DEBUGBUILD),
def(__EMX__),
def(HAVE_SOCKETPAIR),
def(USE_CYASSL),
def(ENABLE_IPV6),
def(SIGPIPE),
!def(HAVE_FSETXATTR),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(SIGHUP),
!def(CURL_DISABLE_TELNET),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(UNITTESTS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(LIB585),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_RTSP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_NSS),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_PROXY),
def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__VMS),
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_SETMODE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_LDAP),
def(LIB1502),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_GOPHER),
def(TIME_WITH_SYS_TIME),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_GETPASS_R),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(HAVE_STRTOK_R),
def(SIGALRM),
!def(CURL_DISABLE_TFTP),
def(DISABLE_EXPECT),
def(HAVE_FDOPEN),
def(MEMDEBUG_LOG_SYNC),
def(CURL_DISABLE_HTTP),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
def(USE_ENVIRONMENT),
!def(UNITTESTS),
def(CURLRES_SYNCH),
def(__riscos__),
!def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
