!def(HAVE_GSSAPI),
!def(__EMX__),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_PIPE),
def(LIB1503),
def(UNITTESTS),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_TELNET),
def(USE_CHUNKED),
def(__riscos__),
!def(HAVE_BASENAME),
!def(DEBUGBUILD),
def(USE_POLARSSL),
def(HAVE_FSETXATTR),
def(CURLDEBUG),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(WIN32)&!def(__AMIGA__)),
def(ENABLE_IPV6),
def(USE_NTLM),
!def(CURL_DISABLE_GOPHER),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FDOPEN),
def(HAVE_WRITABLE_ARGV),
(def(USE_NSS)&def(USE_NTLM)),
def(HAVE_GSSAPI),
def(HAVE_SOCKETPAIR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_STRTOK_R),
True,
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(SIGPIPE),
def(SIGALRM),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_INET_PTON),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(SIGHUP),
def(USE_NSS),
def(__VMS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_PROXY),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TFTP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_NGHTTP2),
def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CYASSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(MEMDEBUG_LOG_SYNC),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_ENVIRONMENT),
def(HAVE_FSETXATTR_6),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_GNUTLS),
def(__EMX__),
def(DEBUGBUILD),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DOES_CONVERSIONS),
def(LIB1502),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_LDAP),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
def(HAVE_SETMODE),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB585),
