!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_GOPHER),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_HTTP),
def(__EMX__),
def(__VMS),
def(WIN32),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__riscos__),
def(USE_NTLM),
def(LIB1502),
!def(CURL_DISABLE_PROXY),
def(SIGALRM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NSS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_POLARSSL),
def(TIME_WITH_SYS_TIME),
def(DEBUGBUILD),
def(HAVE_FDOPEN),
!def(HAVE_STRTOK_R),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SOCKETPAIR),
!def(HAVE_INET_PTON),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_WINDOWS_SSPI),
def(MEMDEBUG_LOG_SYNC),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
def(USE_CYASSL),
True,
!def(HAVE_MEMRCHR),
def(USE_CHUNKED),
!def(_LDAP_PVT_H),
def(CURLDEBUG),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_DICT),
def(SIGPIPE),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TELNET),
def(UNITTESTS),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_RTSP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(WIN32)&!def(__AMIGA__)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB585),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DOES_CONVERSIONS),
def(USE_ENVIRONMENT),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(SIGHUP),
!def(HAVE_FSETXATTR),
def(ENABLE_IPV6),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_BASENAME),
!def(HAVE_INET_NTOP),
def(LIB1503),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_PIPE),
def(HAVE_SETMODE),
