!def(HAVE_GETPASS_R),
def(SIGHUP),
def(__riscos__),
def(SIGPIPE),
!def(DEBUGBUILD),
def(UNITTESTS),
def(USE_POLARSSL),
def(HAVE_SOCKETPAIR),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB1503),
def(USE_CHUNKED),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_WINDOWS_SSPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_CYASSL),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_GNUTLS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_WRITABLE_ARGV),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_TFTP),
(def(WIN32)&!def(_WIN32_WCE)),
def(TIME_WITH_SYS_TIME),
def(USE_LIBRTMP),
def(HAVE_PIPE),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(ENABLE_IPV6),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(LIB1502),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_NSS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(_LDAP_PVT_H),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURLRES_SYNCH),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SETMODE),
!def(HAVE_FSETXATTR),
!def(HAVE_BASENAME),
def(USE_NTLM),
!def(CURL_DISABLE_HTTP),
!def(CURL_DOES_CONVERSIONS),
def(DEBUGBUILD),
def(CURL_DISABLE_HTTP),
def(CURLDEBUG),
!def(__EMX__),
def(SIGALRM),
def(CURL_DOES_CONVERSIONS),
def(USE_ENVIRONMENT),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_TELNET),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(__VMS),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_GOPHER),
def(__EMX__),
True,
!def(CURL_DISABLE_PROXY),
