!def(HAVE_INET_NTOP),
def(SIGALRM),
def(USE_NSS),
def(HAVE_WRITABLE_ARGV),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(MEMDEBUG_LOG_SYNC),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NGHTTP2),
!def(HAVE_FSETXATTR),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(USE_NSS)&def(USE_NTLM)),
def(CURL_DISABLE_HTTP),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_GOPHER),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_POLARSSL),
!def(CURL_DISABLE_PROXY),
def(USE_CHUNKED),
True,
def(HAVE_GSSAPI),
!def(HAVE_GSSAPI),
!def(_LDAP_PVT_H),
def(LIB585),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(LIB1502),
def(HAVE_SETMODE),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_TFTP),
!def(DEBUGBUILD),
!def(CURL_DISABLE_TELNET),
def(SIGPIPE),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(UNITTESTS),
def(DEBUGBUILD),
!def(CURL_DISABLE_LDAP),
def(CURLDEBUG),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_LIBRTMP),
!def(HAVE_BASENAME),
!def(HAVE_STRTOK_R),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(__EMX__),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CYASSL),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_GETPASS_R),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_NTLM),
def(SIGHUP),
!def(HAVE_MEMRCHR),
def(HAVE_FSETXATTR),
def(__VMS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(__riscos__),
!def(HAVE_INET_PTON),
def(USE_ENVIRONMENT),
(def(WIN32)&!def(__AMIGA__)),
def(__EMX__),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(TIME_WITH_SYS_TIME),
def(USE_GNUTLS),
def(HAVE_PIPE),
!def(CURL_DISABLE_DICT),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(LIB1503),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_WINDOWS_SSPI),
def(CURLRES_SYNCH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_FSETXATTR_6),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
!def(CURL_DISABLE_LIBCURL_OPTION),
