(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_NSS),
def(LIB585),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_POLARSSL),
def(SIGHUP),
!def(CURL_DISABLE_TELNET),
def(LIB1503),
def(USE_GNUTLS),
def(__riscos__),
def(USE_CYASSL),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_RTSP),
def(HAVE_SETMODE),
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(DISABLE_EXPECT),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_CHUNKED),
!def(__EMX__),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(UNITTESTS),
def(HAVE_SOCKETPAIR),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
!def(HAVE_GETPASS_R),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_BASENAME),
def(USE_WINDOWS_SSPI),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB1502),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(CURLDEBUG),
!def(CURL_DISABLE_DICT),
def(ENABLE_IPV6),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__VMS),
!def(CURL_DOES_CONVERSIONS),
def(CURLRES_SYNCH),
True,
def(DEBUGBUILD),
def(USE_NTLM),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TFTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(TIME_WITH_SYS_TIME),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
def(HAVE_WRITABLE_ARGV),
def(HAVE_PIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(SIGALRM),
