def(HAVE_FDOPEN),
def(HAVE_FSETXATTR_6),
!def(HAVE_GSSAPI),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(MEMDEBUG_LOG_SYNC),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_GOPHER),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(SIGALRM),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_MEMRCHR),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_PROXY),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_RTSP),
def(DEBUGBUILD),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGHUP),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(SIGPIPE),
def(__riscos__),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_NSS),
!def(HAVE_FSETXATTR),
def(USE_POLARSSL),
def(USE_ENVIRONMENT),
def(LIB585),
!def(HAVE_GETPASS_R),
!def(HAVE_INET_PTON),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(DEBUGBUILD),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(HAVE_WRITABLE_ARGV),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_TFTP),
def(HAVE_FSETXATTR),
!def(__EMX__),
def(ENABLE_IPV6),
def(HAVE_SOCKETPAIR),
def(UNITTESTS),
!def(USE_WIN32_IDN),
def(LIB1502),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_TELNET),
True,
def(USE_LIBRTMP),
def(TIME_WITH_SYS_TIME),
def(__VMS),
def(DISABLE_EXPECT),
!def(HAVE_STRTOK_R),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_BASENAME),
!def(CURL_DOES_CONVERSIONS),
def(USE_GNUTLS),
def(CURL_DO_LINEEND_CONV),
def(USE_CYASSL),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(UNITTESTS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURL_DISABLE_HTTP),
def(USE_NGHTTP2),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(_LDAP_PVT_H),
def(HAVE_GSSAPI),
def(LIB1503),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(__EMX__),
!def(HAVE_INET_NTOP),
def(CURL_DOES_CONVERSIONS),
