def(HAVE_SETMODE),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(_LDAP_PVT_H),
!def(HAVE_MEMRCHR),
!def(__EMX__),
def(ENABLE_IPV6),
(def(WIN32)&!def(_WIN32_WCE)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_RTSP),
def(HAVE_WRITABLE_ARGV),
True,
def(USE_NTLM),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(USE_WINDOWS_SSPI),
def(USE_CHUNKED),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__VMS),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_GOPHER),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_GETHOSTNAME),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DISABLE_HTTP),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_DICT),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(__AMIGA__)&!def(__libnix__)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DOES_CONVERSIONS),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_TFTP),
def(CURL_DOES_CONVERSIONS),
def(HAVE_PIPE),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__EMX__),
def(TIME_WITH_SYS_TIME),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_STRTOK_R),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(__AMIGA__)),
def(DEBUGBUILD),
def(USE_NSS),
def(DISABLE_EXPECT),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(__AMIGA__),
def(USE_LIBRTMP),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_FTP),
def(LIB585),
!def(HAVE_INET_PTON),
def(USE_POLARSSL),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_FSETXATTR),
def(UNITTESTS),
!def(DEBUGBUILD),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_PROXY),
