!def(CURL_DISABLE_RTSP),
def(HAVE_FSETXATTR_6),
!def(HAVE_GSSAPI),
def(ENABLE_IPV6),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
def(SIGALRM),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
def(__EMX__),
def(USE_WINDOWS_SSPI),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_GNUTLS),
def(LIB1502),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(SIGHUP),
def(USE_LIBRTMP),
def(USE_POLARSSL),
!def(HAVE_GETPASS_R),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_NSS),
def(CURL_DOES_CONVERSIONS),
def(__VMS),
!def(HAVE_STRTOK_R),
!def(CURL_DOES_CONVERSIONS),
!def(UNITTESTS),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
def(UNITTESTS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CYASSL),
!def(CURL_DISABLE_TELNET),
(def(WIN32)&!def(_WIN32_WCE)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_DICT),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TFTP),
!def(DEBUGBUILD),
!def(HAVE_MEMRCHR),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_SETMODE),
def(CURLRES_SYNCH),
def(USE_ENVIRONMENT),
def(TIME_WITH_SYS_TIME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NGHTTP2),
def(LIB1503),
!def(HAVE_FSETXATTR),
def(HAVE_FSETXATTR),
def(HAVE_GSSAPI),
True,
def(LIB585),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(SIGPIPE),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_PROXY),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_SOCKETPAIR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(DEBUGBUILD),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CHUNKED),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_GOPHER),
!def(__EMX__),
