!def(CURL_DISABLE_HTTP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_LDAP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_GOPHER),
def(ENABLE_IPV6),
def(DEBUGBUILD),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGALRM),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_TFTP),
def(SIGHUP),
def(USE_GNUTLS),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(USE_NSS)&def(USE_NTLM)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(WIN32)&!def(__AMIGA__)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(MEMDEBUG_LOG_SYNC),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_PROXY),
def(USE_WINDOWS_SSPI),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_FDOPEN),
def(USE_POLARSSL),
def(USE_NGHTTP2),
def(HAVE_PIPE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__VMS),
def(USE_CYASSL),
def(USE_LIBRTMP),
def(UNITTESTS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(LIB585),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(LIB1503),
def(HAVE_SETMODE),
!def(HAVE_GSSAPI),
def(HAVE_GSSAPI),
def(TIME_WITH_SYS_TIME),
!def(HAVE_STRTOK_R),
def(HAVE_FSETXATTR_6),
def(CURLDEBUG),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CHUNKED),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_RTSP),
def(LIB1502),
(def(WIN32)&!def(_WIN32_WCE)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__riscos__),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_NTLM),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_GETPASS_R),
def(DISABLE_EXPECT),
!def(_LDAP_PVT_H),
def(__EMX__),
def(CURL_DISABLE_HTTP),
!def(HAVE_INET_NTOP),
!def(__EMX__),
True,
def(HAVE_FSETXATTR),
def(SIGPIPE),
!def(HAVE_FSETXATTR),
def(USE_NSS),
!def(CURL_DOES_CONVERSIONS),
def(CURL_DOES_CONVERSIONS),
