!def(CURL_DISABLE_LDAP),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_FSETXATTR_6),
def(USE_NGHTTP2),
def(LIB585),
def(UNITTESTS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(LIB1502),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_DICT),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(CURL_DO_LINEEND_CONV),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
!def(HAVE_STRTOK_R),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
!def(CURL_DISABLE_TFTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_WINDOWS_SSPI),
!def(HAVE_INET_PTON),
!def(HAVE_GSSAPI),
def(HAVE_WRITABLE_ARGV),
def(USE_NSS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_LIBRTMP),
def(__VMS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGPIPE),
def(USE_ENVIRONMENT),
True,
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_HTTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_GSSAPI),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_GETPASS_R),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_GNUTLS),
!def(HAVE_FSETXATTR),
!def(HAVE_BASENAME),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(HAVE_SETMODE),
!def(HAVE_MEMRCHR),
def(USE_POLARSSL),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
def(__riscos__),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_PIPE),
def(DISABLE_EXPECT),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(MEMDEBUG_LOG_SYNC),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(SIGALRM),
def(USE_CHUNKED),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_FDOPEN),
!def(HAVE_INET_NTOP),
def(SIGHUP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(DEBUGBUILD),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_NTLM),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(__EMX__),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_SOCKETPAIR),
