!def(HAVE_INET_NTOP),
!def(CURL_DOES_CONVERSIONS),
def(USE_GNUTLS),
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_BASENAME),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__EMX__),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_PROXY),
!def(HAVE_FSETXATTR),
def(USE_CHUNKED),
!def(DEBUGBUILD),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_RTSP),
def(LIB1503),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_NGHTTP2),
def(TIME_WITH_SYS_TIME),
True,
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_FSETXATTR_6),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(DEBUGBUILD),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DISABLE_HTTP),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(MEMDEBUG_LOG_SYNC),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(SIGALRM),
def(SIGPIPE),
def(USE_NSS),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_STRTOK_R),
!def(HAVE_MEMRCHR),
!def(__EMX__),
def(USE_ENVIRONMENT),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_SETMODE),
def(__VMS),
def(ENABLE_IPV6),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(__riscos__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_WINDOWS_SSPI),
def(HAVE_GSSAPI),
def(HAVE_SOCKETPAIR),
def(USE_POLARSSL),
def(USE_CYASSL),
def(SIGHUP),
def(DISABLE_EXPECT),
def(CURLRES_SYNCH),
def(LIB585),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_PTON),
def(UNITTESTS),
def(HAVE_WRITABLE_ARGV),
!def(UNITTESTS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LDAP),
def(LIB1502),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_TELNET),
