!def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_PROXY),
def(CURLDEBUG),
def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_SETMODE),
def(ENABLE_IPV6),
def(TIME_WITH_SYS_TIME),
!def(HAVE_STRTOK_R),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NTLM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_RTSP),
def(HAVE_SOCKETPAIR),
!def(HAVE_GETPASS_R),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_TFTP),
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_BASENAME),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
True,
def(HAVE_FDOPEN),
def(HAVE_GSSAPI),
def(USE_CYASSL),
!def(CURL_DISABLE_TELNET),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(SIGHUP),
def(__riscos__),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_ENVIRONMENT),
!def(__EMX__),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_CHUNKED),
def(HAVE_WRITABLE_ARGV),
def(HAVE_PIPE),
def(__VMS),
def(LIB1502),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(_LDAP_PVT_H),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(LIB1503),
!def(HAVE_INET_PTON),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_POLARSSL),
def(DISABLE_EXPECT),
!def(HAVE_INET_NTOP),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR),
def(CURL_DO_LINEEND_CONV),
!def(CURL_DISABLE_GOPHER),
def(MEMDEBUG_LOG_SYNC),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
def(USE_WINDOWS_SSPI),
def(SIGALRM),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(UNITTESTS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_DICT),
def(SIGPIPE),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DEBUGBUILD),
def(USE_GNUTLS),
def(LIB585),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURLRES_SYNCH),
