!def(CURL_DISABLE_RTSP),
!def(HAVE_INET_NTOP),
def(UNITTESTS),
def(USE_CHUNKED),
def(SIGALRM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_TELNET),
def(__riscos__),
def(DISABLE_EXPECT),
!def(HAVE_GSSAPI),
!def(HAVE_BASENAME),
def(SIGHUP),
def(HAVE_FDOPEN),
!def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_GOPHER),
def(USE_WINDOWS_SSPI),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_LIBRTMP),
def(USE_CYASSL),
def(HAVE_FSETXATTR_6),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(def(WIN32)&!def(_WIN32_WCE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NTLM),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(WIN32)&!def(__AMIGA__)),
!def(UNITTESTS),
def(__VMS),
!def(HAVE_INET_PTON),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(_LDAP_PVT_H),
def(HAVE_GSSAPI),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB1503),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(MEMDEBUG_LOG_SYNC),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1502),
True,
!def(CURL_DISABLE_HTTP),
def(LIB585),
!def(CURL_DISABLE_DICT),
def(USE_POLARSSL),
def(USE_ENVIRONMENT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_STRTOK_R),
!def(HAVE_GETPASS_R),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(SIGPIPE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_LDAP),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_PROXY),
!def(DEBUGBUILD),
def(HAVE_SOCKETPAIR),
!def(HAVE_MEMRCHR),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DEBUGBUILD),
!def(__EMX__),
def(CURLRES_SYNCH),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_WRITABLE_ARGV),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_NSS),
!def(CURL_DISABLE_TFTP),
def(USE_NGHTTP2),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_LIBCURL_OPTION),
