!def(CURL_DISABLE_GOPHER),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DEBUGBUILD),
def(HAVE_GETHOSTNAME),
!def(HAVE_FSETXATTR),
def(HAVE_FSETXATTR),
def(__riscos__),
def(__VMS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CYASSL),
def(TIME_WITH_SYS_TIME),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_RTSP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
True,
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(USE_WINDOWS_SSPI),
def(UNITTESTS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_MEMRCHR),
def(CURLDEBUG),
!def(HAVE_STRTOK_R),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_TFTP),
def(LIB585),
!def(__EMX__),
def(USE_LIBRTMP),
(def(__AMIGA__)&!def(__libnix__)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_POLARSSL),
def(USE_NSS),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__AMIGA__),
!def(HAVE_INET_PTON),
def(CURL_DOES_CONVERSIONS),
def(HAVE_SETMODE),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(__EMX__),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DOES_CONVERSIONS),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(_LDAP_PVT_H),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_TELNET),
!def(HAVE_INET_NTOP),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_FTP),
