!def(HAVE_FSETXATTR),
def(__riscos__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_GETPASS_R),
def(LIB1502),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_PIPE),
def(USE_POLARSSL),
def(DISABLE_EXPECT),
def(USE_CHUNKED),
!def(HAVE_STRTOK_R),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_HTTP),
def(DEBUGBUILD),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(UNITTESTS),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_FDOPEN),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(__EMX__),
def(SIGPIPE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_PTON),
def(__EMX__),
!def(_LDAP_PVT_H),
def(__VMS),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_GNUTLS),
def(SIGALRM),
(def(WIN32)&!def(__AMIGA__)),
def(TIME_WITH_SYS_TIME),
def(USE_LIBRTMP),
def(USE_NTLM),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_PROXY),
def(CURLDEBUG),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_TELNET),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NSS),
!def(CURL_DOES_CONVERSIONS),
def(USE_CYASSL),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_BASENAME),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_TFTP),
def(CURLRES_SYNCH),
def(SIGHUP),
!def(CURL_DISABLE_RTSP),
def(LIB1503),
def(LIB585),
def(HAVE_SOCKETPAIR),
True,
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_LDAP),
def(HAVE_FSETXATTR),
def(USE_WINDOWS_SSPI),
def(ENABLE_IPV6),
!def(CURL_DISABLE_DICT),
