def(USE_POLARSSL),
!def(CURL_DISABLE_LDAP),
def(SIGHUP),
!def(CURL_DISABLE_TFTP),
def(USE_CHUNKED),
def(UNITTESTS),
def(SIGALRM),
def(USE_WINDOWS_SSPI),
def(HAVE_PIPE),
def(CURLDEBUG),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
def(CURL_DISABLE_HTTP),
def(USE_ENVIRONMENT),
!def(_LDAP_PVT_H),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_GETPASS_R),
def(USE_NSS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURLRES_SYNCH),
!def(HAVE_INET_PTON),
!def(HAVE_FSETXATTR),
!def(HAVE_INET_NTOP),
def(HAVE_WRITABLE_ARGV),
def(USE_GNUTLS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGPIPE),
!def(HAVE_BASENAME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__VMS),
(def(WIN32)&!def(_WIN32_WCE)),
def(TIME_WITH_SYS_TIME),
!def(__EMX__),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DISABLE_EXPECT),
def(__riscos__),
def(USE_LIBRTMP),
(def(WIN32)&!def(__AMIGA__)),
def(USE_NTLM),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(ENABLE_IPV6),
!def(CURL_DISABLE_RTSP),
True,
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SETMODE),
def(__EMX__),
!def(CURL_DISABLE_TELNET),
def(LIB585),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_DICT),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FSETXATTR),
!def(CURL_DOES_CONVERSIONS),
def(LIB1502),
def(HAVE_SOCKETPAIR),
!def(HAVE_STRTOK_R),
def(MEMDEBUG_LOG_SYNC),
!def(DEBUGBUILD),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_MEMRCHR),
def(USE_CYASSL),
!def(CURL_DISABLE_GOPHER),
def(DEBUGBUILD),
