!def(HAVE_INET_NTOP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(DEBUGBUILD),
!def(CURL_DISABLE_LDAP),
def(LIB585),
def(USE_POLARSSL),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_GETHOSTNAME),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NSS),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURL_DOES_CONVERSIONS),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_MEMRCHR),
def(UNITTESTS),
!def(CURL_DISABLE_RTSP),
def(HAVE_FSETXATTR),
(def(__AMIGA__)&!def(__libnix__)),
!def(CURL_DISABLE_HTTP),
!def(HAVE_INET_PTON),
def(CURLDEBUG),
def(TIME_WITH_SYS_TIME),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_PROXY),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(__EMX__),
def(USE_LIBRTMP),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_CYASSL),
!def(CURL_DISABLE_GOPHER),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_TFTP),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(USE_WINDOWS_SSPI),
def(__VMS),
def(HAVE_WRITABLE_ARGV),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(DISABLE_EXPECT),
def(USE_CHUNKED),
!def(CURL_DISABLE_FTP),
True,
def(__riscos__),
!def(CURL_DISABLE_DICT),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(DEBUGBUILD),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_STRTOK_R),
!def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(__AMIGA__)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__AMIGA__),
!def(CURL_DISABLE_TELNET),
def(HAVE_PIPE),
