def(USE_NGHTTP2),
def(UNITTESTS),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(DEBUGBUILD),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURL_DISABLE_HTTP),
def(HAVE_FDOPEN),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_INET_NTOP),
def(SIGHUP),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_STRTOK_R),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_CYASSL),
def(LIB1503),
True,
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_TFTP),
def(CURL_DOES_CONVERSIONS),
!def(UNITTESTS),
!def(HAVE_MEMRCHR),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(HAVE_FSETXATTR),
def(USE_LIBRTMP),
!def(HAVE_GSSAPI),
def(TIME_WITH_SYS_TIME),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(LIB585),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(__AMIGA__)),
!def(USE_WIN32_IDN),
def(SIGPIPE),
def(HAVE_SOCKETPAIR),
def(SIGALRM),
def(USE_CHUNKED),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(WIN32)&!def(_WIN32_WCE)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_GSSAPI),
!def(HAVE_FSETXATTR),
def(LIB1502),
!def(_LDAP_PVT_H),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_POLARSSL),
def(__VMS),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_RTSP),
def(CURLRES_SYNCH),
!def(HAVE_BASENAME),
def(HAVE_WRITABLE_ARGV),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(DEBUGBUILD),
!def(__EMX__),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_INET_PTON),
def(ENABLE_IPV6),
def(USE_ENVIRONMENT),
def(DISABLE_EXPECT),
def(USE_GNUTLS),
def(__EMX__),
!def(CURL_DISABLE_TELNET),
def(__riscos__),
!def(CURL_DISABLE_DICT),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_GOPHER),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURL_DO_LINEEND_CONV),
def(USE_NSS),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(HAVE_FSETXATTR_6),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
