!def(CURL_DISABLE_LIBCURL_OPTION),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(LIB585),
def(HAVE_PIPE),
def(TIME_WITH_SYS_TIME),
def(USE_NSS),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_GETHOSTNAME),
!def(CURL_DISABLE_PROXY),
!def(HAVE_MEMRCHR),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(CURL_DISABLE_HTTP),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_STRTOK_R),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(__VMS),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_TELNET),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(__AMIGA__),
def(USE_CHUNKED),
!def(CURL_DISABLE_HTTP),
def(USE_CYASSL),
!def(CURL_DISABLE_DICT),
def(ENABLE_IPV6),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(HAVE_SETMODE),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURL_DOES_CONVERSIONS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_FTP),
def(USE_LIBRTMP),
def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NTLM),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_INET_NTOP),
def(UNITTESTS),
def(DISABLE_EXPECT),
(def(__AMIGA__)&!def(__libnix__)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_PTON),
def(__EMX__),
!def(_LDAP_PVT_H),
!def(CURL_DOES_CONVERSIONS),
!def(USE_WINDOWS_SSPI),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
def(USE_POLARSSL),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LDAP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
