(def(__riscos__)&def(USE_ENVIRONMENT)),
def(HAVE_GSSAPI),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_INET_PTON),
!def(HAVE_BASENAME),
def(CURLDEBUG),
def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_STRTOK_R),
def(HAVE_FSETXATTR_6),
def(USE_CHUNKED),
!def(__EMX__),
def(USE_ENVIRONMENT),
def(TIME_WITH_SYS_TIME),
def(DISABLE_EXPECT),
def(MEMDEBUG_LOG_SYNC),
(def(WIN32)&!def(__AMIGA__)),
def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_WRITABLE_ARGV),
def(CURLRES_SYNCH),
!def(CURL_DOES_CONVERSIONS),
def(__riscos__),
!def(CURL_DISABLE_LDAP),
def(SIGHUP),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
True,
def(USE_NGHTTP2),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_FSETXATTR),
def(LIB1502),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_DICT),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_GNUTLS),
def(LIB1503),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_RTSP),
def(USE_CYASSL),
def(UNITTESTS),
def(SIGALRM),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(WIN32)&!def(_WIN32_WCE)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_PROXY),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
def(__VMS),
def(USE_LIBRTMP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_FDOPEN),
def(HAVE_SETMODE),
def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(USE_NSS)&def(USE_NTLM)),
!def(HAVE_MEMRCHR),
def(HAVE_SOCKETPAIR),
def(LIB585),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GETPASS_R),
def(HAVE_PIPE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(SIGPIPE),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_HTTP),
!def(_LDAP_PVT_H),
def(USE_NTLM),
def(USE_NSS),
!def(CURL_DISABLE_CRYPTO_AUTH),
