!def(HAVE_INET_PTON),
def(USE_CYASSL),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(_LDAP_PVT_H),
def(LIB1503),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
def(USE_NTLM),
def(DISABLE_EXPECT),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_CHUNKED),
def(SIGALRM),
def(CURLDEBUG),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_PROXY),
def(HAVE_FSETXATTR),
def(TIME_WITH_SYS_TIME),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NSS),
def(HAVE_SETMODE),
def(LIB1502),
def(CURL_DISABLE_HTTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LDAP),
def(USE_POLARSSL),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_MEMRCHR),
def(HAVE_PIPE),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(__EMX__),
!def(CURL_DISABLE_TFTP),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_RTSP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGPIPE),
!def(HAVE_STRTOK_R),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_HTTP),
!def(DEBUGBUILD),
def(CURLRES_SYNCH),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_TELNET),
(def(WIN32)&!def(__AMIGA__)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DOES_CONVERSIONS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(UNITTESTS),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_GOPHER),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_SOCKETPAIR),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB585),
def(SIGHUP),
def(__VMS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_DICT),
!def(__EMX__),
def(USE_LIBRTMP),
def(__riscos__),
def(HAVE_FDOPEN),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(DEBUGBUILD),
def(USE_ENVIRONMENT),
