!def(HAVE_STRTOK_R),
(!def(WIN32)&!def(VMS)),
def(CURL_COOKIE_DEBUG),
def(HAVE_O_NONBLOCK),
def(HAVE_FIONBIO),
def(USE_SSLEAY),
def(TEST_ENCODE),
def(DPRINTF_DEBUG2),
def(_FORM_DEBUG),
!def(WIN32),
(!def(WIN32)&!def(HAVE_GETPASS_R)&(def(HAVE_GETPASS_R)|def(WIN32)|def(VMS))&(def(HAVE_GETPASS_R)|!def(WIN32))),
(def(HAVE_INET_NTOA)&!def(ENABLE_IPV6)),
(!def(WIN32)&!def(HAVE_GETPASS_R)&def(VMS)),
def(TEST_DECODE),
True,
def(KRB4),
(!def(WIN32)&!def(HAVE_GETPASS_R)&(def(HAVE_GETPASS_R)|!def(WIN32))),
def(MALLOCDEBUG),
def(_NETRC_DEBUG),
(def(VMS)&!def(WIN32)),
def(_OLD_FORM_DEBUG),
def(WIN32),
def(HAVE_GETPASS_R),
def(DPRINTF_DEBUG),
