def(HAVE_SOCKETPAIR),
def(__EMX__),
def(USE_WINDOWS_SSPI),
def(CURL_DISABLE_HTTP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_FSETXATTR),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(HAVE_WRITABLE_ARGV),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_INET_NTOP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__VMS),
def(SIGHUP),
def(MEMDEBUG_LOG_SYNC),
def(USE_CYASSL),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(LIB585),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB1503),
def(USE_POLARSSL),
True,
!def(CURL_DOES_CONVERSIONS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_LIBRTMP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
def(USE_NGHTTP2),
!def(CURL_DISABLE_TFTP),
!def(UNITTESTS),
!def(HAVE_STRTOK_R),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(ENABLE_IPV6),
(def(USE_NSS)&def(USE_NTLM)),
!def(CURL_DISABLE_HTTP),
def(HAVE_GSSAPI),
def(USE_NSS),
(def(WIN32)&!def(__AMIGA__)),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_LDAP),
def(__riscos__),
def(USE_ENVIRONMENT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(SIGALRM),
!def(HAVE_FSETXATTR),
!def(HAVE_GETPASS_R),
!def(DEBUGBUILD),
def(TIME_WITH_SYS_TIME),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(UNITTESTS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_FSETXATTR_6),
!def(HAVE_BASENAME),
def(USE_CHUNKED),
!def(HAVE_INET_PTON),
def(USE_NTLM),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(CURL_DISABLE_DICT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_GSSAPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_GNUTLS),
!def(CURL_DISABLE_PROXY),
def(HAVE_SETMODE),
!def(__EMX__),
def(LIB1502),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_TELNET),
!def(HAVE_MEMRCHR),
