!def(HAVE_MEMRCHR),
def(USE_CHUNKED),
!def(CURL_DISABLE_TFTP),
def(__VMS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(LIB1503),
!def(CURL_DISABLE_RTSP),
def(USE_NTLM),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TELNET),
!def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGALRM),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_FSETXATTR),
def(USE_LIBRTMP),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
def(CURLDEBUG),
def(SIGHUP),
!def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
def(ENABLE_IPV6),
!def(_LDAP_PVT_H),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SETMODE),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
True,
def(TIME_WITH_SYS_TIME),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_DICT),
def(USE_GNUTLS),
def(LIB1502),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_PIPE),
!def(__EMX__),
!def(HAVE_BASENAME),
(!def(_WIN32_WCE)&!def(WIN32)),
def(DEBUGBUILD),
def(USE_CYASSL),
def(HAVE_FSETXATTR),
def(MEMDEBUG_LOG_SYNC),
def(USE_ENVIRONMENT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(UNITTESTS),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(LIB585),
!def(HAVE_GETPASS_R),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LDAP),
def(CURLRES_SYNCH),
def(HAVE_WRITABLE_ARGV),
def(USE_POLARSSL),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_PROXY),
def(__EMX__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(WIN32)&!def(__AMIGA__)),
def(SIGPIPE),
def(__riscos__),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_STRTOK_R),
