!def(HAVE_INET_NTOP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(TIME_WITH_SYS_TIME),
!def(HAVE_GETPASS_R),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(LIB1502),
!def(CURL_DISABLE_DICT),
!def(HAVE_MEMRCHR),
def(USE_NTLM),
!def(CURL_DOES_CONVERSIONS),
(!def(_WIN32_WCE)&!def(WIN32)),
def(LIB1503),
def(CURLRES_SYNCH),
def(SIGHUP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__VMS),
def(__EMX__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__riscos__),
def(LIB585),
!def(CURL_DISABLE_PROXY),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_HTTP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
def(USE_CHUNKED),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(CURL_DISABLE_HTTP),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_GOPHER),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LDAP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_BASENAME),
def(USE_NSS),
!def(_LDAP_PVT_H),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(SIGALRM),
def(UNITTESTS),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(DEBUGBUILD),
def(HAVE_FSETXATTR),
def(USE_CYASSL),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_SETMODE),
!def(DEBUGBUILD),
def(USE_WINDOWS_SSPI),
def(SIGPIPE),
!def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURLDEBUG),
def(HAVE_PIPE),
def(USE_POLARSSL),
def(USE_ENVIRONMENT),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(__EMX__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
True,
!def(CURL_DISABLE_RTSP),
def(USE_GNUTLS),
!def(CURL_DISABLE_TELNET),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_STRTOK_R),
