!def(CURL_DISABLE_TFTP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_DICT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_PROXY),
def(HAVE_SETMODE),
def(USE_NTLM),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(LIB1503),
!def(_LDAP_PVT_H),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CYASSL),
!def(HAVE_MEMRCHR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURL_DOES_CONVERSIONS),
def(USE_LIBRTMP),
!def(CURL_DISABLE_RTSP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(LIB585),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_WINDOWS_SSPI),
def(MEMDEBUG_LOG_SYNC),
(def(USE_NSS)&def(USE_NTLM)),
def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
True,
!def(HAVE_GETPASS_R),
def(HAVE_SOCKETPAIR),
!def(CURL_DOES_CONVERSIONS),
def(__VMS),
!def(CURL_DISABLE_TELNET),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_HTTP),
def(USE_NSS),
def(CURLDEBUG),
def(HAVE_WRITABLE_ARGV),
def(CURL_DISABLE_HTTP),
def(HAVE_FDOPEN),
def(ENABLE_IPV6),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(DISABLE_EXPECT),
!def(DEBUGBUILD),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(DEBUGBUILD),
def(USE_GNUTLS),
!def(HAVE_STRTOK_R),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_CHUNKED),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_ENVIRONMENT),
def(SIGPIPE),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(__riscos__),
def(CURLRES_SYNCH),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_NGHTTP2),
def(HAVE_FSETXATTR),
!def(HAVE_BASENAME),
(def(WIN32)&!def(_WIN32_WCE)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(SIGALRM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB1502),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGHUP),
def(HAVE_PIPE),
!def(__EMX__),
def(UNITTESTS),
def(TIME_WITH_SYS_TIME),
def(USE_POLARSSL),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_LDAP),
def(HAVE_GSSAPI),
