(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DOES_CONVERSIONS),
def(UNITTESTS),
def(USE_CYASSL),
def(USE_NTLM),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_PIPE),
def(CURLDEBUG),
def(ENABLE_IPV6),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_GOPHER),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_DICT),
def(LIB1502),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SOCKETPAIR),
def(SIGALRM),
def(USE_LIBRTMP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(__EMX__),
def(HAVE_SETMODE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
True,
!def(CURL_DISABLE_HTTP),
def(LIB1503),
def(SIGPIPE),
(def(WIN32)&!def(__AMIGA__)),
!def(_LDAP_PVT_H),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LDAP),
def(HAVE_FDOPEN),
def(LIB585),
def(USE_NSS),
def(HAVE_FSETXATTR),
def(HAVE_GSSAPI),
def(MEMDEBUG_LOG_SYNC),
def(CURL_DISABLE_HTTP),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_INET_PTON),
def(USE_POLARSSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CHUNKED),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_WRITABLE_ARGV),
def(DEBUGBUILD),
!def(HAVE_MEMRCHR),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_WINDOWS_SSPI),
def(TIME_WITH_SYS_TIME),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_PROXY),
def(USE_NGHTTP2),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_GNUTLS),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_GSSAPI),
!def(DEBUGBUILD),
!def(__EMX__),
!def(CURL_DISABLE_TELNET),
(def(WIN32)&!def(_WIN32_WCE)),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_RTSP),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(SIGHUP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_INET_NTOP),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_FSETXATTR),
def(__riscos__),
def(USE_ENVIRONMENT),
!def(HAVE_STRTOK_R),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
