!def(CURL_DISABLE_TFTP),
!def(CURL_DOES_CONVERSIONS),
def(SIGHUP),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_WINDOWS_SSPI),
def(USE_NGHTTP2),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_GSSAPI),
!def(HAVE_STRTOK_R),
def(UNITTESTS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_LIBRTMP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_ENVIRONMENT),
def(HAVE_FSETXATTR),
def(__EMX__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_GSSAPI),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_PROXY),
def(__VMS),
def(SIGALRM),
def(__riscos__),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_RTSP),
def(LIB1503),
!def(HAVE_MEMRCHR),
def(HAVE_FSETXATTR_6),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(USE_CHUNKED),
def(USE_GNUTLS),
True,
def(CURL_DISABLE_HTTP),
def(USE_CYASSL),
def(LIB585),
def(MEMDEBUG_LOG_SYNC),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_POLARSSL),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_FSETXATTR),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURLRES_SYNCH),
!def(HAVE_INET_NTOP),
!def(__EMX__),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_DICT),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GETPASS_R),
def(DEBUGBUILD),
def(USE_NSS),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
def(HAVE_FDOPEN),
def(TIME_WITH_SYS_TIME),
!def(HAVE_BASENAME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LDAP),
def(LIB1502),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(UNITTESTS),
def(HAVE_SETMODE),
(def(WIN32)&!def(_WIN32_WCE)),
