!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_MEMRCHR),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(__EMX__),
def(TIME_WITH_SYS_TIME),
def(ENABLE_IPV6),
def(HAVE_PIPE),
True,
!def(CURL_DISABLE_PROXY),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_INET_PTON),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_GOPHER),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(DISABLE_EXPECT),
def(USE_GNUTLS),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_WRITABLE_ARGV),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__VMS),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CYASSL),
(def(__AMIGA__)&!def(__libnix__)),
def(UNITTESTS),
def(HAVE_SETMODE),
def(HAVE_GETHOSTNAME),
!def(CURL_DISABLE_RTSP),
def(__AMIGA__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NTLM),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_FTP),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_DICT),
def(USE_LIBRTMP),
def(__riscos__),
def(LIB585),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_TFTP),
def(CURLDEBUG),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_LDAP),
!def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
def(USE_NSS),
def(USE_POLARSSL),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_INET_NTOP),
