!def(CURL_DISABLE_TFTP),
def(HAVE_FSETXATTR),
(def(WIN32)&!def(__AMIGA__)),
!def(DEBUGBUILD),
def(USE_ENVIRONMENT),
def(TIME_WITH_SYS_TIME),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_GOPHER),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_INET_PTON),
def(ENABLE_IPV6),
!def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURLRES_SYNCH),
def(HAVE_WRITABLE_ARGV),
def(HAVE_PIPE),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURLDEBUG),
!def(HAVE_BASENAME),
!def(HAVE_MEMRCHR),
def(MEMDEBUG_LOG_SYNC),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(SIGALRM),
!def(HAVE_INET_NTOP),
def(UNITTESTS),
!def(_LDAP_PVT_H),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_TELNET),
def(__riscos__),
def(USE_CHUNKED),
def(SIGPIPE),
!def(CURL_DISABLE_LDAP),
def(USE_POLARSSL),
def(__EMX__),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(__VMS),
!def(CURL_DISABLE_PROXY),
!def(__EMX__),
def(USE_LIBRTMP),
!def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
def(LIB1502),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(_WIN32_WCE)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(DISABLE_EXPECT),
def(USE_NTLM),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB585),
def(HAVE_SOCKETPAIR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CYASSL),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_HTTP),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FDOPEN),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SETMODE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1503),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_RTSP),
def(CURL_DISABLE_HTTP),
def(DEBUGBUILD),
