!def(CURL_DISABLE_RTSP),
!def(DEBUGBUILD),
def(HAVE_FDOPEN),
!def(_LDAP_PVT_H),
def(DEBUGBUILD),
(def(USE_NSS)&def(USE_NTLM)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(LIB585),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(__EMX__),
!def(CURL_DISABLE_TFTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGALRM),
def(MEMDEBUG_LOG_SYNC),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_HTTP),
def(USE_CYASSL),
!def(HAVE_BASENAME),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_NGHTTP2),
def(LIB1503),
def(USE_NTLM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(HAVE_SETMODE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__riscos__),
!def(HAVE_GETPASS_R),
!def(HAVE_GSSAPI),
def(SIGPIPE),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_STRTOK_R),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_PROXY),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__EMX__),
def(__VMS),
def(CURLDEBUG),
def(TIME_WITH_SYS_TIME),
!def(HAVE_MEMRCHR),
def(CURL_DOES_CONVERSIONS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_SOCKETPAIR),
True,
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR_6),
def(UNITTESTS),
def(CURLRES_SYNCH),
def(USE_POLARSSL),
!def(CURL_DISABLE_LDAP),
def(ENABLE_IPV6),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1502),
def(USE_CHUNKED),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_GNUTLS),
!def(HAVE_INET_NTOP),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_WINDOWS_SSPI),
def(USE_ENVIRONMENT),
def(DISABLE_EXPECT),
def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_PIPE),
!def(CURL_DISABLE_DICT),
def(USE_NSS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
!def(CURL_DISABLE_TELNET),
